res_id,address,likes,dislikes,bookmarks,price_range,cuisine,review
449330,"Shop 109, 1/F, The Pulse, 28 Beach Road, Repulse Bay",151,6,3453,$201-400,Robatayaki,185
539110,"Shop G406, G/F, Ming Kung Mansion, 22 Tai Koo Shing Road, Tai Koo",198,6,3358,$51-100,Dessert,239
651449,"G/F, 4-5 Wo On Lane, Central",81,2,4663,$101-200,Sushi/Sashimi,94
438377,"G/F., 18-22 Shepherd Street, Tai Hang",89,3,5273,$401-800,Roast Meat,100
449848,"1/F, The L. Place, 139 Queen's Road Central, Central",57,6,19820,$401-800,All-you-can-eat,99
535487,"Shop 2, G/F, Rockson Mansion, 25-35 Water Street, Sai Ying Pun, Western District",98,1,5809,$201-400,Omakase,109
522551,"2/F, Henry House, 42 Yun Ping Road, Causeway Bay",106,0,5621,$201-400,Sushi/Sashimi,117
606309,"7/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",104,2,2894,$201-400,Sushi/Sashimi,113
600128,"G/F, Luen On House, 6-7 Wo On Lane, Central",106,0,4873,$101-200,Sushi/Sashimi,119
553110,"Shop F, G/F, Yen Shun Mansion, 142-150 Third Street, Sai Ying Pun, Western District",77,2,4373,Below $50,Dessert,95
646553,"Shop 3020, 3/F, IFC Mall, 1 Harbour View Street, Central",54,11,6024,$101-200,Ramen,122
18607,"Shop 501-503, 5/F, The Landmark, 15 Queen's Road Central, Central",71,16,12370,Above $801,Vegetarian,144
348661,"G/F, 29 Swatow Street, Wan Chai",98,8,8422,$101-200,Ramen,166
688339,"Shop A, 2/F, Top View Mansion, 10 Canal Road West, Causeway Bay",111,2,1196,$101-200,Hot Pot,119
679601,"Shop NP-13-105, Yata, B1/F, Harbour North Phase 2, Java Road, North Point",60,0,303,$101-200,Roast Meat,61
497098,"G/F, AEON, Kornhill Plaza South, 1-2 Kornhill Road, Tai Koo",77,5,1915,$51-100,Not Specified,116
501921,"G/F, 8 Hillier Street, Sheung Wan",72,0,3923,$51-100,Seafood,117
448843,"Shop 15, G/F, Wah To Building, 22-30 Cross Lane, Wan Chai",95,0,6746,$51-100,Ramen,112
608601,"G/F, 33 Stanley Street, Central",59,4,3113,$51-100,Fast Food,118
593903,"7/F, M88, Wellington Place, 2-8 Wellington Street, Central",38,0,10634,$201-400,Robatayaki,54
566794,"1/F, Wo On Building, 8-13 Wo On Lane, Central",141,4,6077,$401-800,Teppanyaki,154
620261,"Shop A, 2/F, Hundred City Centre, 7-17 Amoy Street, Wan Chai",82,1,3940,$401-800,Sushi/Sashimi,90
631128,"6/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay",41,3,8967,Above $801,Sushi/Sashimi,62
479810,"27/F, Zing!, 38 Yiu Wah Street, Causeway Bay",42,4,11758,Above $801,Sushi/Sashimi,68
18338,"1/F, M88, Wellington Place, 2-8 Wellington Street, Central",100,10,12665,$401-800,Sushi/Sashimi,151
186196,"Shop3013, 3/F, IFC, 1 Harbour View Street, Central",61,3,4976,$201-400,Seafood,89
625524,"Shop B, G/F, Shun Cheong Building, 28 Hau Wo Street, Kennedy Town, Western District",64,2,1844,$201-400,Skewer,69
75264,"Shop 112-115, 1/F, Windsor House, 311 Gloucester Road, Causeway Bay",71,8,6046,$201-400,Roast Meat,132
149767,"Shop 1202, 12/F, Times Square, 1 Matheson Street, Causeway Bay",69,9,10999,$201-400,Sushi/Sashimi,146
614905,"9/F, The Steps ‧ H Code, 45 Pottinger Street, Central",28,1,9775,$201-400,Skewer,38
23697,"Shop G07, G/F, Grand Plaza, Aeon, 2 Kornhill Road, Tai Koo",181,14,3337,$101-200,Not Specified,270
691750,"9/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",60,0,2067,$201-400,Steak House,64
540173,"1/F, Wharney Guang Dong Hotel Hong Kong, 57-73 Lockhart Road, Wan Chai",46,3,3644,$201-400,Sushi/Sashimi,76
525681,"G/F, 27 Amoy Street, Wan Chai",52,5,4891,$101-200,Yoshoku,99
492037,"G/F, 23 Amoy Street, Wan Chai",104,9,4213,$51-100,Ramen,159
673290,"G/F, 509 Queen's Road West, Sai Ying Pun, Western District",57,1,1439,$51-100,Sushi/Sashimi,64
656608,"Basement, Peter Building, 58-60 Queen's Road Central, Central",46,4,3245,$51-100,Not Specified,69
12097,"4/F, The Goldmark, 502 Hennessy Road, Causeway Bay",323,48,14393,$201-400,Sushi/Sashimi,511
438398,"Shop 002, LG1/F, Pacific Place , 88 Queensway, Admiralty",59,10,7292,$201-400,Sushi/Sashimi,135
544358,"12/F, 18 On Lan Street, Central",31,1,9098,Above $801,Omakase,43
564581,"1/F, Chai Wan Sports Centre, 6 Yee Shun Street, Chai Wan",54,2,1536,$51-100,Ramen,70
117340,"22-23/F, L'Hart, 487-489 Lockhart Road, Causeway Bay",79,8,14567,$201-400,Skewer,139
637599,"Shop A, G/F, Winway Building, 50 Wellington Street, Central",47,4,1816,$101-200,Ramen,76
484912,"Shop 2, G/F, 38 Haven Street, Causeway Bay",37,4,8969,Above $801,Teppanyaki,51
637972,"Shop B, G/F, Nice Garden, 513 Queen's Road West, Sai Ying Pun, Western District",88,4,1670,$201-400,Sushi/Sashimi,97
560984,"Shop 6, G/F., Hoi Deen Court, 30-34 Cannon Street, Causeway Bay",59,9,4791,$101-200,Ramen,116
551394,"Shop 8, G/F, Victor Court, 18 Wang On Road, Fortress Hill, North Point",48,0,3955,$101-200,Sushi/Sashimi,65
649845,"YATA Department Store, B1/F, Harbour North Phase 2, 123 Java Road, North Point",52,1,430,$51-100,Not Specified,58
179689,"G/F, Lei Wen Court, 23 Haven Street, Causeway Bay",211,2,6941,$101-200,Skewer,227
640304,"28/F & 29/F, 18 On Lan Street, Central",22,0,9916,Above $801,Fine Dining,33
589062,"Shop C, G/F, 76 Shau Kei Wan Main Street East, Shau Kei Wan",40,0,2352,Below $50,Dessert,62
690258,"G/F, 1B Davis Street, Western District",54,0,543,$101-200,Robatayaki,54
666091,"Shop 4B, G/F, 33 Sharp Street East, Causeway Bay",47,6,4379,Below $50,Dessert,72
637648,"1/F, 77-91 Queen's Road West, Sheung Wan",27,3,7656,$401-800,Wine,37
610289,"6/F, LKF Tower, 33 Wyndham Street, Lan Kwai Fong, Central",39,1,7523,$401-800,Not Specified,53
